Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
145,Brent Barry,32,SEA,SG,59,53,1803,18.3,0.668,0.59,0.258,1.4,11.9,6.7,30.5,2.5,0.7,22.6,15.8,4.9,0.7,5.7,0.151,3.2,0.1,3.2,2.4,
146,Allan Houston,32,NYK,SG,50,50,1799,14.8,0.539,0.259,0.22,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7,2.5,0.6,3.1,0.083,1.1,-1.6,-0.5,0.7,
147,Udonis Haslem,23,MIA,PF,75,24,1795,13.7,0.521,0.007,0.409,12.1,18.7,15.4,4.9,1,1.1,12.3,15.8,2.7,2.1,4.8,0.128,-1.1,-0.9,-2,0,
148,Keith Bogans,23,ORL,SF,73,36,1787,11,0.499,0.412,0.227,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,1.3,0,1.3,0.034,-0.5,-2,-2.4,-0.2,
149,Mike Miller,23,MEM,SF,65,65,1770,14.9,0.532,0.349,0.229,2.7,11.2,6.9,22.1,1.8,0.6,13.6,20,2.5,1.4,3.9,0.107,0.8,-0.2,0.6,1.1,
150,Derek Fisher,29,LAL,SG,82,3,1769,11.5,0.451,0.311,0.266,1.9,7.9,4.9,16.3,3,0.2,10.9,18.3,0.4,2,2.4,0.066,-2,1.1,-0.8,0.5,
151,Marko Jarić,25,LAC,PG,58,50,1760,12.6,0.475,0.314,0.212,2.8,8.5,5.7,26.3,2.8,0.8,18.1,16,0.9,0.6,1.5,0.042,-0.6,0,-0.7,0.6,
152,Kelvin Cato,29,HOU,PF,69,67,1743,13.2,0.495,0,0.394,10.9,20.5,16,6.9,1.6,4.2,16.6,13.9,1.1,3.5,4.6,0.127,-2,2.4,0.4,1.1,
153,Jarron Collins,25,UTA,C,81,31,1732,11.1,0.587,0.003,0.888,8.3,14.5,11.3,7.5,0.8,0.9,16.1,13.1,3.1,1.1,4.2,0.117,-1.7,-0.3,-2,0,
154,Alvin Williams,29,TOR,SG,56,54,1730,11.4,0.463,0.179,0.171,1.2,8.8,5,23.6,1.8,0.4,12.8,17.1,0.3,1.8,2.1,0.058,-2.4,0.6,-1.9,0,
155,George Lynch,33,NOH,SF,78,51,1701,9.7,0.472,0.371,0.136,6.3,14.9,10.5,11.3,1.5,0.8,13.9,12.4,0.9,1.6,2.5,0.072,-1.9,0.3,-1.5,0.2,
156,Dale Davis,34,POR,C,76,37,1682,12.9,0.505,0,0.377,11.3,16.8,14.1,6.6,1.4,2.8,10.9,10.3,2.4,1.5,3.9,0.11,-0.7,0.4,-0.3,0.7,
157,Lorenzen Wright,28,MEM,C,65,46,1674,14,0.474,0.009,0.224,9.6,20.5,15,7.2,1.4,2.5,10.7,19.4,1,2.1,3.2,0.092,-1.7,-0.5,-2.1,0,
158,Earl Watson,24,MEM,PG,81,14,1669,12.8,0.438,0.228,0.297,3.3,8.8,6,37.5,2.9,0.8,21.8,18.1,0.1,1.7,1.8,0.052,-1.3,0.3,-1,0.4,DPOY-10
159,Bob Sura,30,2TM,SG,80,18,1663,16.2,0.51,0.163,0.466,6.9,15.3,11.2,24.1,2,0.6,15.2,19,2.6,2,4.6,0.133,0.6,0.5,1.1,1.3,
160,Ruben Patterson,28,POR,SF,73,1,1651,14.6,0.53,0.03,0.481,9.4,9.9,9.6,13.9,2.8,1,18,16.7,1.7,1.3,3,0.087,-0.4,0.7,0.4,1,
161,Dion Glover,25,2TM,SG,69,30,1643,12.2,0.471,0.202,0.265,4,14.2,9.2,14,1.6,0.9,13.4,21.2,0.1,1,1.1,0.032,-1.1,-0.9,-2.1,0,
162,Jerome Williams,30,2TM,PF,68,44,1637,14.7,0.522,0.024,0.461,11.7,20.6,16.1,7.3,2.9,0.4,15.5,13.3,1.8,2.5,4.3,0.127,-0.8,1.2,0.4,1,
