,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
315,Kyle Filipowski,21,-1.0,21,-1.0,Duke,32,2nd,31-44,USA,Top D1,2,Replacement Level,Below
316,Kris Humphries,19,0.9,28,0.13333333333333333,Minnesota,14,1st,1-14,USA,Top D1,2,Role Player,Below
317,Jarace Walker,20,0.2,20,-0.35,Houston,8,1st,1-14,USA,Top D1,2,Replacement Level,Met
318,Tim Duncan,21,8.5,27,7.900000000000001,Wake Forest,1,1st,1-14,USA,Other D1,7,MVP,Met
319,Ricky Council IV,22,1.3,22,-1.5,Arkansas,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
320,Mike Dunleavy,22,1.7,27,1.5666666666666664,Duke,3,1st,1-14,USA,Top D1,2,Role Player,Below
321,Brandon Goodwin,24,-1.6,26,-2.533333333333333,Florida Gulf Coast,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
322,Andre Jackson Jr.,22,-3.4,23,-3.5,Connecticut,36,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
323,Moses Brown,21,-0.6,23,-2.1,UCLA,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
324,DaQuan Jeffries,23,-4.7,23,-4.7,Tulsa,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
325,Jerome Robinson,21,-3.9,22,-5.2,Boston College,13,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
326,Nicolò Melli,29,-1.3,29,-2.4,Fenerbahce,0,Undrafted,Undrafted,Turkey,Euroleague,1,Benchwarmer,Met
327,Anthony Lamb,23,-1.1,25,-3.5999999999999996,Vermont,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
328,Justin Champagnie,20,-0.5,23,-1.25,Pittsburgh,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
329,Sekou Doumbouya,19,-6.7,19,-6.7,INSEP,15,1st,15-30,France,International Prep,22,Benchwarmer,Bust
330,Tristan Da Silva,23,-2.6,23,-2.6,Colorado,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
331,Alonzo Gee,23,-0.6,27,-1.5,Alabama,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
332,Anthony Morrow,23,1.8,29,0.4000000000000001,Georgia Tech,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
333,Johnny Juzang,22,-2.3,23,-3.0,UCLA,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
334,Isaiah Whitehead,21,-5.1,21,-5.1,Seton Hall,42,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
